domain,shape,rows,level,scan,chains,last_op,steps,reads,gather_readers,segment_readers,scan_readers,output_rows,gather_refs
0,"input",148,0,0,0,input,1,"","1 7 12 57 66","4","",78,140
1,"neg(@0)",70,0,0,0,neg,1,"0","3","","",0,177
2,"const($0)",511,0,0,0,const,1,"","10","9 24 27 35 38 39 47","10",0,1102
3,"exp(mul(@0,$0))",177,0,0,0,exp,2,"1","6 8 26 32 37 42 45","","",0,7918
4,"affine(#0;%0)",16917,0,0,0,affine,1,"0","5","","",0,16917
5,"exp(mul(neg(@0),$0))",16917,0,0,0,exp,3,"4","6 8 16 26 32 37 42 45 55","","",0,62518
6,"div(sub(div(@0,@1),#0),$0)",17083,0,0,0,div,3,"3 5","7 8 12","24","",0,22907
7,"sub(@0,@1)",4,0,0,0,sub,1,"0 6","","","",4,0
8,"mul(@0,$0)",34685,0,0,0,mul,1,"3 5 6","13 16 29 30 33 43 53 58 66","9 17 27 35 38 39 47 48 49 56","13",226,366
9,"sum(%0)",17076,1,0,0,sum,1,"2 8","10 14 15 18 19 21 29 32 43 50 53 57 58 60 66","17","10 15",1562,257924
10,"mul(^,@0)",255687,2,1,1102,mul,1,"2 9 10","11 19","","",0,1240
11,"div(sub(@0,#0),$0)",1138,3,0,0,div,2,"10","12","35","",0,8
12,"sub(@1,sub(#1,div(@0,#0)))",16,0,0,0,sub,3,"0 6 11","","","",16,0
13,"sum(^,@0)",8,1,1,2,sum,1,"8 13","66","17","",0,8
14,"mul(@0,#0)",1,2,0,0,mul,1,"9","15","","15",0,1
15,"mul(^,@0)",256,3,1,1,mul,1,"9 14 15","20","","",0,1
16,"mul(@0,@1)",120,1,0,0,mul,1,"5 8","","17 27 35 38 39 47 48 49 56","",0,0
17,"sum(%0)",7,2,0,0,sum,1,"8 9 13 16","34 57 66","27","",0,7
18,"div(@0,$0)",213,2,0,0,div,1,"9","","27","",0,0
19,"mul(@0,@1)",102,3,0,0,mul,1,"9 10","20 21","","",0,103
20,"div(sub(@0,#0),$0)",10,4,0,0,div,2,"15 19","","38","",0,0
21,"mul(@0,@1)",94,4,0,0,mul,1,"9 19","22 32","","",0,94
22,"div(sub(@0,#0),$0)",88,5,0,0,div,2,"21","","39","",0,0
23,"div(sub(#0,#1),#2)",1,0,0,0,div,2,"","","24","",0,0
24,"sum(%0)",6639,0,0,0,sum,1,"2 6 23","25","","",0,15358
25,"mul(@0,$0)",15358,1,0,0,mul,1,"24","26","","",0,15358
26,"mul(@0,@1)",15358,2,0,0,mul,1,"3 5 25","28 29 30","27 38 39 47 48 49 56","28",22,30
27,"sum(%0)",1025,3,0,0,sum,1,"2 8 16 17 18 26","28 29 31 57 66","35","28",806,2208
28,"sum(^,@0,@1)",4,4,1,1,sum,1,"26 27 28","57 66","38","",0,7
29,"mul($0,sub(@0,@1))",605,4,0,0,mul,2,"8 9 26 27","36","56","",605,605
30,"mul($0,sub(@0,@1))",11,3,0,0,mul,2,"8 26","31","56","",11,11
31,"mul(@0,$0)",1406,4,0,0,mul,1,"27 30","32","59 61","",11,1395
32,"mul(@0,@1)",1401,5,0,0,mul,1,"3 5 9 21 31","33 46","39 47","",20,26
33,"mul($0,sub(@0,@1))",20,6,0,0,mul,2,"8 32","","59 61","",40,0
34,"div(@0,#0)",2,3,0,0,div,1,"17","","35","",0,0
35,"sum(%0)",1137,4,0,0,sum,1,"2 8 11 16 27 34","36 57 66","38","",0,6389
36,"mul(@0,$0)",6989,5,0,0,mul,1,"29 35","37","59 61","",605,6384
37,"mul(@0,@1)",6384,6,0,0,mul,1,"3 5 36","40 43 66","47 48 49 56 59 61 62 63 64 65","40",136,150
38,"sum(%0)",16,5,0,0,sum,1,"2 8 16 20 26 28 35","41 57 66","39","",0,20
39,"sum(%0)",271,6,0,0,sum,1,"2 8 16 22 26 32 38","43 44 57 66","47","",177,1387
40,"sum(^,@0)",4,7,1,1,sum,1,"37 40","66","48","",0,4
41,"mul(@0,$0)",13,6,0,0,mul,1,"38","42","","",0,13
42,"mul(@0,@1)",13,7,0,0,mul,1,"3 5 41","","48 49 56 62","",0,0
43,"mul($0,sub(@0,@1))",313,7,0,0,mul,2,"8 9 37 39","52","56 59 61","",589,37
